Project,Package,Class,Smell,Description,File
project-1-team-45-master,org.apache.roller.planet.tasks,GeneratePlanetTask,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): PlanetTask,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\tasks\GeneratePlanetTask.java
project-1-team-45-master,org.apache.roller.planet.tasks,RefreshPlanetTask,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): PlanetTask,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\tasks\RefreshPlanetTask.java
project-1-team-45-master,org.apache.roller.planet.tasks,StaticPlanetModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\tasks\StaticPlanetModel.java
project-1-team-45-master,org.apache.roller.planet.tasks,StaticPlanetModel,Feature Envy,The tool detected a instance of this smell because getFeedEntries is more interested in members of the type: PlanetManager,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\tasks\StaticPlanetModel.java
project-1-team-45-master,org.apache.roller.planet.util,MailUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\util\MailUtil.java
project-1-team-45-master,org.apache.roller.planet.util.rome,ContentModuleGenerator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\util\rome\ContentModuleGenerator.java
project-1-team-45-master,org.apache.roller.planet.util.rome,ContentModuleParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\util\rome\ContentModuleParser.java
project-1-team-45-master,org.apache.roller.planet.util.rome,PlanetConverterForRSS091N,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\util\rome\PlanetConverterForRSS091N.java
project-1-team-45-master,org.apache.roller.planet.util.rome,PlanetConverterForRSS091U,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\util\rome\PlanetConverterForRSS091U.java
project-1-team-45-master,org.apache.roller.planet.util.rome,PlanetConverterForRSS20,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\util\rome\PlanetConverterForRSS20.java
project-1-team-45-master,org.apache.roller.planet.util.rome,PlanetRSS091NParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\util\rome\PlanetRSS091NParser.java
project-1-team-45-master,org.apache.roller.planet.util.rome,PlanetRSS091UParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\planet\util\rome\PlanetRSS091UParser.java
project-1-team-45-master,org.apache.roller.util,DateUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MILLIS_IN_DAY; FORMAT_DEFAULT_DATE; FORMAT_DEFAULT_DATE_MINIMAL; FORMAT_DEFAULT_TIMESTAMP; FORMAT_FRIENDLY_TIMESTAMP; FORMAT_6CHARS; FORMAT_8CHARS; FORMAT_ISO_8601; FORMAT_ISO_8601_DAY; FORMAT_RFC_822,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\util\DateUtil.java
project-1-team-45-master,org.apache.roller.util,DateUtil,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 49 public methods,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\util\DateUtil.java
project-1-team-45-master,org.apache.roller.util,RegexUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MAILTO_PATTERN; EMAIL_PATTERN,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\util\RegexUtil.java
project-1-team-45-master,org.apache.roller.util,RollerConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PERCENT_100; ONE_KB_IN_BYTES; FOUR_KB_IN_BYTES; EIGHT_KB_IN_BYTES; TWENTYFOUR_KB_IN_BYTES; ONE_MB_IN_BYTES; HALF_SEC_IN_MS; SEC_IN_MS; MIN_IN_MS; FIFTEEN_MIN_IN_MS; HOUR_IN_MS; TEXTWIDTH_255; GRACEFUL_SHUTDOWN_WAIT_IN_SECONDS; GRACEFUL_SHUTDOWN_WAIT_IN_MILLISECONDS,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\util\RollerConstants.java
project-1-team-45-master,org.apache.roller.weblogger.business,BookmarkManager,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CacheHandler; WeblogEntry; Weblog; WeblogCategory; WeblogEntryManager; WeblogEntrySearchCriteria; User; RollerContext; Weblogger; UserManager; WeblogPermission; WebloggerFactory; WebloggerProvider; BookmarkManager; WeblogBookmarkFolder; WeblogBookmark; WeblogManager; WeblogTemplate; CustomTemplateRendition; AutoPingManager; AutoPing; PingQueueManager; PingQueueEntry; IndexManager; URLStrategy; ThemeManager; WeblogTheme; PluginManager; WeblogEntryComment; MediaFileManager; MediaFile; MediaFileDirectory; FileContent; FileContentManager; PlanetManager; PlanetGroup; CacheManager; GlobalPermission; CommentSearchCriteria; WeblogHitCount; WebloggerRuntimeConfig; WeblogEntryAttribute; WeblogEntryTag; WeblogEntryPlugin,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\BookmarkManager.java
project-1-team-45-master,org.apache.roller.weblogger.business,BootstrapException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WebloggerException,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\BootstrapException.java
project-1-team-45-master,org.apache.roller.weblogger.business,DatabaseProvider.ConfigurationType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\DatabaseProvider.java
project-1-team-45-master,org.apache.roller.weblogger.business,FileIOException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WebloggerException,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\FileIOException.java
project-1-team-45-master,org.apache.roller.weblogger.business,FileNotFoundException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WebloggerException,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\FileNotFoundException.java
project-1-team-45-master,org.apache.roller.weblogger.business,FilePathException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WebloggerException,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\FilePathException.java
project-1-team-45-master,org.apache.roller.weblogger.business,HitCountQueue,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HitCountProcessingJob; HitCountQueue,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\HitCountQueue.java
project-1-team-45-master,org.apache.roller.weblogger.business,InitializationException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WebloggerException,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\InitializationException.java
project-1-team-45-master,org.apache.roller.weblogger.business,MailProvider.ConfigurationType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\MailProvider.java
project-1-team-45-master,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractURLStrategy,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\MultiWeblogURLStrategy.java
project-1-team-45-master,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\MultiWeblogURLStrategy.java
project-1-team-45-master,org.apache.roller.weblogger.business,PreviewURLStrategy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\PreviewURLStrategy.java
project-1-team-45-master,org.apache.roller.weblogger.business,TestTask,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NAME,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\TestTask.java
