Project,Package,Smell,Description
project-1-team-45-master,org.apache.roller.planet.business,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.roller.planet.pojos; org.apache.roller.weblogger.business.
project-1-team-45-master,org.apache.roller.planet.business,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.roller.planet.pojos; org.apache.roller.planet.business.fetcher; org.apache.roller.weblogger.business.
