Project,Package,Class,Method,Smell,Description,File
project-1-team-45-master,org.apache.roller.weblogger.business,MediaFileTest,testSearchMediaFilePaging,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.pojos.MediaFile.setSharedForGallery; org.apache.roller.weblogger.pojos.MediaFileFilter.setLength; org.apache.roller.weblogger.pojos.MediaFile.setDescription; org.apache.roller.weblogger.pojos.MediaFileDirectory.getMediaFiles; org.apache.roller.weblogger.business.MediaFileManager.searchMediaFiles; org.apache.roller.weblogger.pojos.MediaFile.setLength; org.apache.roller.weblogger.pojos.MediaFile.getName; org.apache.roller.weblogger.pojos.MediaFileDirectory.getId; org.apache.roller.weblogger.pojos.MediaFile.setDirectory; org.apache.roller.weblogger.business.MediaFileManager.getDefaultMediaFileDirectory; org.apache.roller.weblogger.business.MediaFileManager.createMediaFile; org.apache.roller.weblogger.pojos.MediaFile.setName; org.apache.roller.weblogger.pojos.MediaFile.setWeblog; org.apache.roller.weblogger.pojos.MediaFile.getId; org.apache.roller.weblogger.pojos.MediaFileFilter.setSize; org.apache.roller.weblogger.pojos.MediaFile.setContentType; org.apache.roller.weblogger.business.MediaFileManager.getMediaFileDirectory; org.apache.roller.weblogger.pojos.User.getUserName; org.apache.roller.weblogger.pojos.MediaFileFilter.setSizeFilterType; org.apache.roller.weblogger.business.Weblogger.getMediaFileManager; org.apache.roller.weblogger.pojos.MediaFile.setCopyrightText; org.apache.roller.weblogger.pojos.MediaFile.setInputStream; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.pojos.MediaFileFilter.setStartIndex; org.apache.roller.weblogger.pojos.Weblog.getId,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\MediaFileTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,MediaFileTest,testSearchMediaFileOrderBy,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\MediaFileTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,MediaFileTest,testSearchMediaFileOrderBy,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.pojos.MediaFile.setDateUploaded; org.apache.roller.weblogger.pojos.MediaFile.setSharedForGallery; org.apache.roller.weblogger.pojos.MediaFile.setDescription; org.apache.roller.weblogger.pojos.MediaFileDirectory.getMediaFiles; org.apache.roller.weblogger.business.MediaFileManager.searchMediaFiles; org.apache.roller.weblogger.pojos.MediaFile.setLength; org.apache.roller.weblogger.pojos.MediaFile.getName; org.apache.roller.weblogger.pojos.MediaFileDirectory.getId; org.apache.roller.weblogger.pojos.MediaFile.setDirectory; org.apache.roller.weblogger.business.MediaFileManager.getDefaultMediaFileDirectory; org.apache.roller.weblogger.business.MediaFileManager.createMediaFile; org.apache.roller.weblogger.pojos.MediaFile.setName; org.apache.roller.weblogger.pojos.MediaFile.setWeblog; org.apache.roller.weblogger.pojos.MediaFile.getId; org.apache.roller.weblogger.pojos.MediaFileFilter.setSize; org.apache.roller.weblogger.pojos.MediaFile.setContentType; org.apache.roller.weblogger.business.MediaFileManager.getMediaFileDirectory; org.apache.roller.weblogger.pojos.User.getUserName; org.apache.roller.weblogger.pojos.MediaFileFilter.setSizeFilterType; org.apache.roller.weblogger.business.Weblogger.getMediaFileManager; org.apache.roller.weblogger.pojos.MediaFile.setCopyrightText; org.apache.roller.weblogger.pojos.MediaFile.setInputStream; org.apache.roller.weblogger.pojos.MediaFileFilter.setOrder; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.pojos.Weblog.getId,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\MediaFileTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,MediaFileTest,testUpdateMediaFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\MediaFileTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,MediaFileTest,testUpdateMediaFile,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.pojos.MediaFile.getSharedForGallery; org.apache.roller.weblogger.pojos.MediaFile.getCopyrightText; org.apache.roller.weblogger.pojos.MediaFile.setSharedForGallery; org.apache.roller.weblogger.pojos.MediaFile.getContentType; org.apache.roller.weblogger.pojos.MediaFile.setDescription; org.apache.roller.weblogger.business.MediaFileManager.updateMediaFile; org.apache.roller.weblogger.pojos.MediaFileDirectory.getMediaFiles; org.apache.roller.weblogger.pojos.MediaFile.getTags; org.apache.roller.weblogger.pojos.MediaFile.setLength; org.apache.roller.weblogger.pojos.MediaFile.getName; org.apache.roller.weblogger.pojos.MediaFileDirectory.getId; org.apache.roller.weblogger.pojos.MediaFile.setDirectory; org.apache.roller.weblogger.business.MediaFileManager.getDefaultMediaFileDirectory; org.apache.roller.weblogger.business.MediaFileManager.createMediaFile; org.apache.roller.weblogger.pojos.MediaFile.setName; org.apache.roller.weblogger.pojos.MediaFile.setWeblog; org.apache.roller.weblogger.pojos.MediaFile.getId; org.apache.roller.weblogger.pojos.MediaFile.setContentType; org.apache.roller.weblogger.business.MediaFileManager.getMediaFileDirectory; org.apache.roller.weblogger.pojos.User.getUserName; org.apache.roller.weblogger.business.Weblogger.getMediaFileManager; org.apache.roller.weblogger.pojos.MediaFile.setCopyrightText; org.apache.roller.weblogger.pojos.MediaFile.setInputStream; org.apache.roller.weblogger.pojos.MediaFile.setTagsAsString; org.apache.roller.weblogger.pojos.MediaFile.getDescription; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.MediaFileManager.getMediaFile; org.apache.roller.weblogger.pojos.Weblog.getId,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\MediaFileTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,MediaFileTest,testGetDirectoryContents,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\MediaFileTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,MediaFileTest,testGetDirectoryContents,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.MediaFileManager.createMediaFileDirectory; org.apache.roller.weblogger.business.MediaFileManager.createMediaFile; org.apache.roller.weblogger.pojos.MediaFile.setName; org.apache.roller.weblogger.pojos.MediaFile.setWeblog; org.apache.roller.weblogger.pojos.MediaFile.setSharedForGallery; org.apache.roller.weblogger.pojos.MediaFile.setContentType; org.apache.roller.weblogger.business.MediaFileManager.getMediaFileDirectory; org.apache.roller.weblogger.pojos.User.getUserName; org.apache.roller.weblogger.pojos.MediaFile.setDescription; org.apache.roller.weblogger.business.Weblogger.getMediaFileManager; org.apache.roller.weblogger.pojos.MediaFile.setCopyrightText; org.apache.roller.weblogger.pojos.MediaFile.setInputStream; org.apache.roller.weblogger.pojos.MediaFileDirectory.getMediaFiles; org.apache.roller.weblogger.pojos.MediaFile.setLength; org.apache.roller.weblogger.pojos.MediaFileDirectory.getId; org.apache.roller.weblogger.pojos.MediaFile.setDirectory; org.apache.roller.weblogger.pojos.Weblog.getMediaFileDirectories; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.pojos.MediaFileDirectory.hasMediaFile; org.apache.roller.weblogger.business.MediaFileManager.getDefaultMediaFileDirectory; org.apache.roller.weblogger.pojos.Weblog.getId,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\MediaFileTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,MediaFileTest,testMoveDirectoryContents,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\MediaFileTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,MediaFileTest,testMoveDirectoryContents,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.MediaFileManager.createMediaFileDirectory; org.apache.roller.weblogger.business.MediaFileManager.createMediaFile; org.apache.roller.weblogger.pojos.MediaFile.setName; org.apache.roller.weblogger.pojos.MediaFile.setWeblog; org.apache.roller.weblogger.pojos.MediaFile.setSharedForGallery; org.apache.roller.weblogger.pojos.MediaFile.setContentType; org.apache.roller.weblogger.business.MediaFileManager.getMediaFileDirectory; org.apache.roller.weblogger.pojos.User.getUserName; org.apache.roller.weblogger.pojos.MediaFile.setDescription; org.apache.roller.weblogger.business.Weblogger.getMediaFileManager; org.apache.roller.weblogger.pojos.MediaFile.setCopyrightText; org.apache.roller.weblogger.pojos.MediaFile.setInputStream; org.apache.roller.weblogger.pojos.MediaFileDirectory.getMediaFiles; org.apache.roller.weblogger.pojos.MediaFile.setLength; org.apache.roller.weblogger.pojos.MediaFileDirectory.getId; org.apache.roller.weblogger.pojos.MediaFile.setDirectory; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.MediaFileManager.moveMediaFiles; org.apache.roller.weblogger.business.MediaFileManager.getDefaultMediaFileDirectory; org.apache.roller.weblogger.pojos.Weblog.getId,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\MediaFileTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,MediaFileTest,testStorageUpgrade,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\MediaFileTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,MediaFileTest,testStorageUpgrade,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.jpa.JPAMediaFileManagerImpl.isFileStorageUpgradeRequired; org.apache.roller.weblogger.pojos.RuntimeConfigProperty.getValue; org.apache.roller.weblogger.pojos.MediaFileDirectory.getMediaFile; org.apache.roller.weblogger.business.MediaFileManager.getMediaFileByPath; org.apache.roller.weblogger.business.MediaFileManager.getMediaFileByOriginalPath; org.apache.roller.weblogger.pojos.User.getUserName; org.apache.roller.weblogger.business.Weblogger.getPropertiesManager; org.apache.roller.weblogger.business.Weblogger.getMediaFileManager; org.apache.roller.weblogger.business.PropertiesManager.saveProperty; org.apache.roller.weblogger.business.jpa.JPAMediaFileManagerImpl.upgradeFileStorage; org.apache.roller.weblogger.business.PropertiesManager.getProperty; org.apache.roller.weblogger.pojos.RuntimeConfigProperty.setValue; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.MediaFileManager.getDefaultMediaFileDirectory; org.apache.roller.weblogger.config.WebloggerConfig.getProperty; org.apache.roller.weblogger.pojos.Weblog.getId,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\MediaFileTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PermissionTest,testPermissionsCRUD,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PermissionTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PermissionTest,testPermissionsCRUD,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.pojos.RollerPermission.getActionsAsList; org.apache.roller.weblogger.business.UserManager.grantWeblogPermission; org.apache.roller.weblogger.business.UserManager.getWeblogPermission; org.apache.roller.weblogger.business.UserManager.revokeWeblogPermission; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.pojos.RollerPermission.hasAction; org.apache.roller.weblogger.pojos.WeblogPermission.getWeblog; org.apache.roller.weblogger.pojos.RollerPermission.addActions; org.apache.roller.weblogger.pojos.WeblogPermission.getUser; org.apache.roller.weblogger.business.Weblogger.getUserManager,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PermissionTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PermissionTest,testPermissionsLookups,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PermissionTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PermissionTest,testPermissionsLookups,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.UserManager.getWeblogPermissions; org.apache.roller.weblogger.business.UserManager.grantWeblogPermissionPending; org.apache.roller.weblogger.business.UserManager.getWeblogPermission; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.UserManager.getPendingWeblogPermissions; org.apache.roller.weblogger.pojos.RollerPermission.hasAction; org.apache.roller.weblogger.pojos.User.getUserName; org.apache.roller.weblogger.business.Weblogger.getUserManager,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PermissionTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PermissionTest,testInvitations,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PermissionTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PermissionTest,testInvitations,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.UserManager.grantWeblogPermissionPending; org.apache.roller.weblogger.business.WeblogManager.getWeblogUsers; org.apache.roller.weblogger.pojos.Weblog.getHandle; org.apache.roller.weblogger.pojos.User.getUserName; org.apache.roller.weblogger.business.Weblogger.getUserManager; org.apache.roller.weblogger.business.UserManager.confirmWeblogPermission; org.apache.roller.weblogger.business.UserManager.getUserByUserName; org.apache.roller.weblogger.business.Weblogger.getWeblogManager; org.apache.roller.weblogger.business.UserManager.getWeblogPermission; org.apache.roller.weblogger.business.UserManager.revokeWeblogPermission; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.UserManager.getPendingWeblogPermissions; org.apache.roller.weblogger.business.WeblogManager.getWeblogByHandle; org.apache.roller.weblogger.business.WeblogManager.getUserWeblogs; org.apache.roller.weblogger.pojos.Weblog.getId,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PermissionTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PermissionTest,testPermissionChecks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PermissionTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PermissionTest,testPermissionChecks,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.UserManager.grantRole; org.apache.roller.weblogger.business.UserManager.checkPermission; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.pojos.User.getUserName; org.apache.roller.weblogger.business.Weblogger.getUserManager,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PermissionTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PingsTest,testPingTargetCRUD,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PingsTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PingsTest,testPingTargetCRUD,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.pojos.PingTarget.getId; org.apache.roller.weblogger.business.pings.PingTargetManager.getPingTarget; org.apache.roller.weblogger.business.Weblogger.getPingTargetManager; org.apache.roller.weblogger.business.pings.PingTargetManager.savePingTarget; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.pojos.PingTarget.setName; org.apache.roller.weblogger.pojos.PingTarget.getPingUrl; org.apache.roller.weblogger.pojos.PingTarget.getName; org.apache.roller.weblogger.business.pings.PingTargetManager.removePingTarget,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PingsTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PingsTest,testPingTargetLookups,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PingsTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PingsTest,testPingTargetLookups,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.pings.PingTargetManager.getCommonPingTargets; org.apache.roller.weblogger.pojos.PingTarget.getId; org.apache.roller.weblogger.business.pings.PingTargetManager.getPingTarget; org.apache.roller.weblogger.business.Weblogger.getPingTargetManager; org.apache.roller.weblogger.business.pings.PingTargetManager.savePingTarget; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.pojos.PingTarget.getName; org.apache.roller.weblogger.business.pings.PingTargetManager.removePingTarget,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PingsTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PingsTest,testAutoPingCRUD,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PingsTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PingsTest,testAutoPingCRUD,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.pings.AutoPingManager.removeAutoPing; org.apache.roller.weblogger.pojos.AutoPing.getPingTarget; org.apache.roller.weblogger.business.pings.PingTargetManager.getPingTarget; org.apache.roller.weblogger.pojos.PingTarget.getId; org.apache.roller.weblogger.business.Weblogger.getPingTargetManager; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.pings.AutoPingManager.getAutoPing; org.apache.roller.weblogger.business.Weblogger.getAutopingManager; org.apache.roller.weblogger.pojos.AutoPing.setPingTarget; org.apache.roller.weblogger.business.pings.AutoPingManager.saveAutoPing; org.apache.roller.weblogger.pojos.AutoPing.getId,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PingsTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PingsTest,testPingTargetRemovals,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PingsTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PingsTest,testPingTargetRemovals,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.pings.PingTargetManager.getPingTarget; org.apache.roller.weblogger.pojos.PingTarget.getId; org.apache.roller.weblogger.business.pings.AutoPingManager.getAutoPingsByWebsite; org.apache.roller.weblogger.business.Weblogger.getPingTargetManager; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.pings.AutoPingManager.removeAllAutoPings; org.apache.roller.weblogger.business.pings.AutoPingManager.getAutoPing; org.apache.roller.weblogger.business.Weblogger.getAutopingManager; org.apache.roller.weblogger.business.pings.AutoPingManager.removeAutoPings; org.apache.roller.weblogger.business.pings.AutoPingManager.removeAutoPing; org.apache.roller.weblogger.pojos.AutoPing.getId,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PingsTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PingsTest,testAutoPingLookups,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PingsTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PingsTest,testAutoPingLookups,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.pings.AutoPingManager.removeAutoPing; org.apache.roller.weblogger.business.pings.PingTargetManager.getPingTarget; org.apache.roller.weblogger.pojos.PingTarget.getId; org.apache.roller.weblogger.pojos.AutoPing.getPingTarget; org.apache.roller.weblogger.business.pings.AutoPingManager.getAutoPingsByWebsite; org.apache.roller.weblogger.business.Weblogger.getPingTargetManager; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.pings.AutoPingManager.getAutoPing; org.apache.roller.weblogger.business.pings.AutoPingManager.getAutoPingsByTarget; org.apache.roller.weblogger.business.Weblogger.getAutopingManager; org.apache.roller.weblogger.business.pings.AutoPingManager.saveAutoPing; org.apache.roller.weblogger.pojos.AutoPing.getId,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PingsTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PlanetManagerLocalTest,testRefreshEntries,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PlanetManagerLocalTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PlanetManagerLocalTest,testRefreshEntries,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.planet.business.PlanetManager.getWeblogger; org.apache.roller.planet.business.PlanetManager.getGroup; org.apache.roller.weblogger.planet.tasks.RefreshRollerPlanetTask.runTask; org.apache.roller.planet.business.PlanetManager.getWebloggerById; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.planet.tasks.SyncWebsitesTask.runTask; org.apache.roller.weblogger.planet.tasks.SyncWebsitesTask.init; org.apache.roller.weblogger.business.Weblogger.getPlanetManager; org.apache.roller.planet.pojos.PlanetGroup.getSubscriptions,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PlanetManagerLocalTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PlanetManagerLocalTest,testRefreshEntries,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PlanetManagerLocalTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PropertiesTest,testProperiesCRUD,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PropertiesTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,PropertiesTest,testProperiesCRUD,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.PropertiesManager.saveProperty; org.apache.roller.weblogger.pojos.RuntimeConfigProperty.getValue; org.apache.roller.weblogger.business.PropertiesManager.getProperty; org.apache.roller.weblogger.pojos.RuntimeConfigProperty.setValue; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.PropertiesManager.saveProperties; org.apache.roller.weblogger.business.PropertiesManager.getProperties; org.apache.roller.weblogger.business.Weblogger.getPropertiesManager,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\PropertiesTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,SQLScriptRunnerTest,testSimpleRun,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\SQLScriptRunnerTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,SQLScriptRunnerTest,testSimpleRun,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.weblogger.business.DatabaseProvider.getConnection; org.apache.roller.weblogger.business.startup.WebloggerStartup.getDatabaseProvider; org.apache.roller.weblogger.business.startup.SQLScriptRunner.runScript,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\SQLScriptRunnerTest.java
project-1-team-45-master,org.apache.roller.weblogger.business,TaskLockTest,testTaskLockCRUD,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\weblogger\business\TaskLockTest.java
