file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\ui\rendering\pagers\SearchResultsPager.java,org.apache.roller.weblogger.ui.rendering.pagers.SearchResultsPager,class,8,10,2,8,19,1,0,13,40,0.7314815,0.0,0.0,12,0,12,0,0,0,12,0,0,0,9,0,0,7,0,2,9,0,0,80,15,0,5,0,0,4,8,14,2,11,2,0,0,0,38,1,0
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\ui\rendering\servlets\SearchServlet.java,org.apache.roller.weblogger.ui.rendering.servlets.SearchServlet,class,26,27,1,26,21,2,0,54,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,2,0,2,0,1,2,0,12,125,5,0,4,6,0,24,1,19,3,16,4,0,0,0,75,1,12
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\FieldConstants.java,org.apache.roller.weblogger.business.search.lucene.FieldConstants,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,16,16,16,0,0,0,16,0,0,18,0,0,0,0,0,16,0,16,0,16,0,0,0,0,30,17,0
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\ReadFromIndexOperation.java,org.apache.roller.weblogger.business.search.lucene.ReadFromIndexOperation,class,4,6,2,4,3,2,1,8,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,18,0,0,0,1,0,1,0,1,0,1,1,0,0,0,19,1025,1
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\SearchResultMap.java,org.apache.roller.weblogger.business.search.SearchResultMap,class,1,1,0,1,5,1,0,0,2,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,0,0,4,0,0,0,24,4,0,0,0,0,0,0,4,0,4,0,0,0,0,12,1,0
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\AddEntryOperation.java,org.apache.roller.weblogger.business.search.lucene.AddEntryOperation,class,9,12,3,9,6,3,0,11,0,0.16666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,0,0,0,35,1,0,2,2,0,2,0,6,0,5,2,0,0,0,50,1,2
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\IndexManager.java,org.apache.roller.weblogger.business.search.IndexManager,interface,4,14,10,4,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\WriteToIndexOperation.java,org.apache.roller.weblogger.business.search.lucene.WriteToIndexOperation,class,4,10,6,4,3,2,5,10,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,21,0,0,0,1,0,3,0,1,0,1,1,0,0,0,27,1025,3
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\IndexUtil.java,org.apache.roller.weblogger.business.search.lucene.IndexUtil,class,5,8,3,5,6,1,0,6,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23,2,0,2,1,0,0,0,6,0,5,2,0,0,0,47,17,0
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\IndexOperation.java,org.apache.roller.weblogger.business.search.lucene.IndexOperation,class,17,26,9,17,18,1,2,30,11,0.6666667,0.0,0.0,6,0,2,0,4,0,6,1,0,0,3,1,0,2,1,0,0,0,3,85,2,1,8,2,0,10,0,18,0,15,4,0,0,0,69,1025,2
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\webservices\opensearch\OpenSearchServlet.java,org.apache.roller.weblogger.webservices.opensearch.OpenSearchServlet,class,7,7,0,7,8,2,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,61,2,0,4,1,0,25,5,15,6,10,2,0,0,0,69,1,0
